"state_abbreviation","state","district","state_district","district_id","i","candidate_name","party","primary_votes","primary_percent","general_votes","general_percent","TotalPop","discuss","discussOppose","reducetax","reducetaxOppose","CO2limits","CO2limitsOppose","localofficials","localofficialsOppose","governor","governorOppose","congress","congressOppose","president","presidentOppose","corporations","corporationsOppose","citizens","citizensOppose","regulate","regulateOppose","supportRPS","supportRPSOppose","drilloffshore","drilloffshoreOppose","drillANWR","drillANWROppose","fundrenewables","fundrenewablesOppose","rebates","rebatesOppose","mediaweekly","mediaweeklyOppose","gwvoteimp","gwvoteimpOppose","teachGW","teachGWOppose","priority","priorityOppose","happening","happeningOppose","human","humanOppose","consensus","consensusOppose","worried","worriedOppose","personal","personalOppose","harmUS","harmUSOppose","devharm","devharmOppose","futuregen","futuregenOppose","harmplants","harmplantsOppose","timing","timingOppose","affectweather","affectweatherOppose","lcv_score"
"AL","Alabama","01","Alabama_01","AL 01","(I)","Byrne, Bradley","R","Unopposed",1,"153228",0.631563328208658,543486,26.793,73.169,58.998,39.452,58.335,40.739,48.918,15.626,47.465,15.714,50.124,22.555,52.471,14.1,62.87,10.177,55.62,12.719,70.551,27.817,57.258,42.913,63.65,34.127,35.567,63.246,82.234,16.565,79.31,19.507,18.853,80.432,49.906,39.325,71.877,28.184,41.377,29.14,59.78,16.502,47.861,39.869,42.175,30.065,52.093,47.947,36.319,49.847,53.103,32.986,56.164,26.069,58.859,24.722,61.533,23.747,48.546,51.454,51.674,6.95,3
"AL","Alabama","02","Alabama_02","AL 02","(I)","Roby, Martha","R","36708",0.389760142703942,"138879",0.613884100251956,526246,27.104,72.868,61.527,36.895,61.775,37.443,49.12,16.116,48.715,16.515,52.678,21.54,54.62,13.559,61.596,11.84,56.489,13.426,69.411,29.958,55.941,44.622,65.141,33.732,36.364,62.893,81.826,17.866,77.893,21.909,19.595,79.578,49.559,39.452,74.152,25.864,43.984,28.143,64.593,14.989,50.247,39.357,42.851,28.417,52.824,47.177,36.358,49.675,53.713,32.346,56.028,25.199,59.183,24.457,60.295,24.168,50.195,49.805,51.609,7.327,3
"AL","Alabama","03","Alabama_03","AL 03","(I)","Rogers, Mike","R","Unopposed",1,"147770",0.637173102214173,550516,27.259,72.715,60.829,37.634,63.857,35.302,49.783,15.932,49.317,16.028,54.889,21.002,54.853,13.28,65.224,10.626,57.793,12.842,70.391,28.432,60.978,38.103,61.157,38.144,36.507,62.639,82.418,17.06,79.949,19.252,20.295,78.884,51.118,38.662,73.944,26.21,44.584,27.499,64.716,13.884,50.832,38.511,45.288,28.277,55.56,44.428,37.503,50.582,56.04,31.702,59.208,24.169,62.473,22.354,63.418,22.431,50.2,49.8,53.589,7.323,3
"AL","Alabama","04","Alabama_04","AL 04","(I)","Aderholt, Robert","R","93959",0.814732278343811,"184255",0.797747749698011,527386,24.925,75.036,54.445,44.31,55.89,43.491,44.67,18.587,43.549,18.392,47.867,26.771,48.615,16.934,60.67,12.623,53.535,14.725,66.45,32.761,54.569,44.719,65.477,33.221,38.086,60.769,80.166,19.342,78.112,20.897,19.618,79.713,44.514,43.99,68.25,32.332,37.763,35.096,55.491,22.192,43.791,43.789,39.487,33.504,46.174,53.861,31.974,56.305,48.513,39.591,51.293,31.857,55.442,29.644,56.332,29.538,44.821,55.179,45.746,8.49,3
"AL","Alabama","05","Alabama_05","AL 05","(I)","Brooks, Mo","R","54928",0.612577648410229,"159063",0.610201286669505,556547,27.216,72.843,58.572,39.948,60.883,37.973,48.938,17.06,47.263,17.837,51.797,23.362,52.291,14.429,63.162,11.856,56.957,13.227,69.116,29.882,56.689,42.793,61.362,36.475,37.187,61.703,82.115,17.334,79.299,19.558,20.677,78.599,48.398,40.953,70.758,28.738,40.67,31.697,61.31,16.678,52.043,39.479,44.019,30.557,54.383,45.231,34.856,51.872,51.987,35.578,55.753,27.923,59.751,26.207,60.954,24.46,46.756,53.244,52.312,7.76,3
"AL","Alabama","06","Alabama_06","AL 06","(I)","Palmer, Gary","R","Unopposed",1,"192542",0.691780920352965,538133,28.378,71.559,55.179,43.497,57.828,41.896,46.576,16.92,45.353,17.658,49.538,25.068,51.741,16.845,62.412,12.579,55.719,14.157,67.66,31.597,57.331,42.271,63.83,34.005,37.391,60.996,81.941,17.493,78.781,20.994,21.25,77.931,48.155,41.079,66.672,33.279,39.549,33.334,58.18,19.428,47.76,39.802,43.291,30.733,51.581,48.504,34.559,55.267,52.604,37.162,56.271,28.524,58.936,26.758,59.568,26.827,46.017,53.983,49.773,7.519,0
"AL","Alabama","07","Alabama_07","AL 07","(I)","Sewell, Terri A.","D","Unopposed",1,"185010",0.978045389426051,523572,28.263,71.821,71.644,26.464,71.664,27.601,59.758,11.422,56.865,12.587,61.207,13.402,63.098,7.94,67.665,8.426,63.177,9.085,74.635,24.219,65.01,34.605,59.194,39.55,31.579,66.768,84.92,13.997,82.029,17.11,16.379,82.565,58.321,31.035,82.608,17.167,53.148,16.113,70.148,6.626,51.689,37.081,47.589,20.226,59.998,40.076,46.945,35.973,61.547,22.266,64.15,15.276,66.724,14.604,68.271,15.085,60.879,39.121,63.266,4.415,97
"AK","Alaska","00","Alaska_00","AK 00","(I)","Young, Don","R","49667",0.708465872619642,"149779",0.530818737906055,552380,39.532,59.61,64.15,34.16,64.217,35.151,49.862,16.004,45.292,18.031,55.131,22.345,55.47,14.728,68.648,9.489,61.751,9.927,71.899,26.583,59.217,39.29,52.474,46.826,31.7,67.161,85.767,13.191,82.04,16.802,26.879,72.302,56.101,32.978,75.946,23.675,46.416,26.556,70.159,13.81,53.769,35.449,54.596,27.633,61.018,38.567,39.119,52.09,59.708,31.641,64.119,24.607,68.425,20.811,71.07,20.788,52.617,47.383,60.916,5.94,10
"AZ","Arizona","01","Arizona_01","AZ 01","(I)","O'Halleran, Tom","D","64114",1,"143240",0.538316127310787,572691,35.773,64.077,60.71,37.968,63.913,36.067,52.391,15.598,49.803,15.988,57.832,20.638,56.221,13.691,70.047,9.459,61.181,10.649,72.864,26.382,62.519,37.354,59.148,39.525,33.938,64.717,84.637,14.433,81.734,17.695,24.908,74.031,53.693,35.042,72.615,27.462,47.143,27.857,70.011,12.416,54.717,32.116,52.682,27.115,60.615,39.651,43.532,45.578,60.801,27.951,64.031,21.569,66.199,19.215,68.076,19.318,51.605,48.395,62.269,5.557,97
"AZ","Arizona","02","Arizona_02","AZ 02",NA,"Kirkpatrick, Ann","D","33938",0.418507146116188,"161000",0.54733607114689,573995,40.645,58.89,64.501,34.1,69.238,30.518,53.282,15.496,51.542,15.099,59.613,18.429,59.781,10.512,71.327,9.283,63.85,10.13,74.698,24.526,66.12,32.8,53.742,44.926,33.827,65.724,86.19,13.165,81.936,17.625,29.618,69.763,59.193,32.407,76.754,23.245,54.968,22.782,73.882,11.846,57.778,31.711,59.052,25.572,66.693,33.123,45.939,45.24,63.612,27.522,65.963,22.01,70.143,18.809,71.348,18.788,58.701,41.299,65.42,5.98,95
